ID,CarNumber,Make_n_model,Refund,Fines,History
465,E53277152RUS,Ford Focus,1.0,500,
466,X015HY197RUS,Toyota Corolla,1.0,8000,
467,E552MO152RUS,Ford Focus,1.0,,
468,9469EX178RUS,Ford Focus,2.0,2100,
469,Y6839Y50RUS,Ford Focus,2.0,3000,
470,H237YH197RUS,Ford Focus,1.0,600,1
471,T948OM96RUS,Ford Focus,1.0,2000,
472,T395KX197RUS,Ford Focus,2.0,15200,
473,M301CH161RUS,Ford Focus,1.0,8000,
474,M581CH197RUS,Ford Focus,1.0,100,
475,E79988152RUS,Ford Focus,1.0,1500,
476,9496KX178RUS,Ford Focus,1.0,500,
477,9488EY178RUS,Ford Focus,1.0,1300,
478,T6319O50RUS,Ford Focus,2.0,,
479,H305T8197RUS,Ford Focus,1.0,28100,
480,8201XX154RUS,Ford Focus,2.0,2600,
481,O64297197RUS,Ford Focus,1.0,300,
482,9523M8178RUS,Skoda Octavia,1.0,600,1
483,Y273O8197RUS,Ford Focus,2.0,52600,
484,T6229O50RUS,Ford Focus,2.0,2500,
485,9943KK197RUS,Ford Focus,2.0,19800,
486,X023HY197RUS,Volvo,2.0,10200,
487,8226XX154RUS,Ford Focus,2.0,1000,
488,Y038TO197RUS,Toyota Corolla,1.0,7600,
489,M0289X197RUS,Ford Focus,2.0,40600,
490,E811HE77RUS,Ford Focus,2.0,7000,
491,O785T9163RUS,Ford Focus,1.0,500,
492,X795O796RUS,Ford Focus,1.0,2000,
493,O39997197RUS,Ford Focus,1.0,9000,1
494,97968K152RUS,Ford Focus,2.0,500,
495,K339T8197RUS,Ford Focus,2.0,,
496,9943OH154RUS,Skoda Octavia,1.0,400,
497,H219X836RUS,Ford Focus,1.0,1600,
498,X782CO96RUS,Ford Focus,1.0,1000,
499,T6169O50RUS,Ford Focus,1.0,500,
500,Y352O8197RUS,Ford Focus,2.0,25900,2
501,Y8399C197RUS,Ford Focus,1.0,600,
502,T940CC96RUS,Ford Focus,1.0,500,
503,94178K154RUS,Ford Focus,1.0,500,
504,7365C8197RUS,Ford Focus,2.0,6900,
505,9467EX178RUS,Ford Focus,2.0,3700,
506,O78097197RUS,Ford Focus,2.0,1400,
507,X5707X161RUS,Volkswagen Passat,2.0,500,
508,Y232E877RUS,Ford Focus,2.0,5000,
509,Y388E877RUS,Ford Focus,2.0,19000,
510,X255HE161RUS,Ford Focus,1.0,400,
511,E552MO152RUS,Ford Focus,1.0,,
512,97998K152RUS,Ford Focus,2.0,6300,
513,Y963O8197RUS,Ford Focus,2.0,21600,1
514,Y778EE197RUS,Volkswagen Golf,2.0,168000,
515,T654HT96RUS,Toyota Corolla,2.0,2000,
516,T477KX197RUS,Ford Focus,2.0,94000,
517,T2639T116RUS,Ford Focus,1.0,3000,
518,O49797197RUS,Ford Focus,2.0,5300,
519,708187163RUS,Ford Focus,2.0,1000,
520,O83597197RUS,Ford Focus,2.0,8000,
521,8601XX154RUS,Skoda Octavia,2.0,3900,
522,H387TM197RUS,Volkswagen Passat,2.0,3200,3
523,O68897197RUS,Ford Focus,1.0,8200,
524,72457Y96RUS,Ford Focus,1.0,900,
525,7064C8197RUS,Volkswagen Passat,1.0,12800,
526,E948C8152RUS,Ford Focus,2.0,6000,
527,7248C8197RUS,Ford Mondeo,,34400,
528,C514X938RUS,Ford Focus,2.0,,
529,C589EY154RUS,Ford Focus,1.0,4500,
530,C420X938RUS,Ford Focus,1.0,3300,
531,K899T8197RUS,Ford Focus,2.0,15400,
532,T6418M116RUS,Ford Focus,2.0,24600,
533,8607XX154RUS,Skoda Octavia,2.0,2400,
534,92778M178RUS,Ford Focus,2.0,3000,
535,C476M7161RUS,Ford Focus,2.0,500,
536,T288CT96RUS,Ford Focus,1.0,4500,
537,9679EC178RUS,Ford Focus,1.0,500,2
538,9886HX152RUS,Ford Focus,2.0,2900,
539,C583EY154RUS,Ford Focus,1.0,1000,
540,7788KT197RUS,Ford Focus,1.0,20000,
541,T016OX197RUS,Toyota Corolla,2.0,9600,
542,T6419O50RUS,Ford Focus,2.0,27000,
543,C592EY154RUS,Ford Focus,1.0,1000,
544,T6459O50RUS,Ford Focus,1.0,2000,
545,Y356O8197RUS,Ford Focus,2.0,,
546,X759HY197RUS,Ford Focus,2.0,12500,
547,705787163RUS,Ford Focus,1.0,100,
548,96429X178RUS,Ford Focus,2.0,1300,
549,Y973O8197RUS,Ford Focus,1.0,69600,
550,92898M178RUS,Ford Focus,1.0,1600,
551,X023HY197RUS,Volvo,,6800,
552,9671EC178RUS,Ford Focus,1.0,600,
553,M302CH161RUS,Ford Focus,1.0,500,3
554,X023HY197RUS,Volvo,2.0,6800,
555,M578CH197RUS,Ford Focus,2.0,9000,
556,O77997197RUS,Ford Focus,2.0,5600,
557,7368C8197RUS,Ford Focus,2.0,8800,
558,9683EC178RUS,Ford Focus,2.0,6500,
559,Y207O8161RUS,Ford Focus,1.0,500,
560,96659X178RUS,Ford Focus,1.0,2700,
561,T912CT197RUS,Toyota Camry,2.0,19800,
562,M256OH161RUS,Ford Focus,1.0,1600,
563,7183TT36RUS,Ford Focus,2.0,16200,
564,89557X197RUS,Toyota Camry,2.0,22400,
565,E773EH197RUS,Ford Focus,2.0,,
566,Y359O8197RUS,Ford Focus,1.0,2000,
567,K2817K154RUS,Ford Focus,1.0,4500,
568,O017KO197RUS,Ford Focus,1.0,1600,
569,E396MO152RUS,Ford Focus,2.0,3000,
570,X758HY197RUS,Ford Focus,2.0,145200,1
571,X795O796RUS,Ford Focus,1.0,1000,
572,Y964O8197RUS,Ford Focus,1.0,1000,
573,H967HY161RUS,Ford Focus,2.0,4500,
574,E394MO152RUS,Ford Focus,2.0,10500,
575,O50699163RUS,Ford Focus,1.0,1100,
576,9463EX178RUS,Ford Focus,1.0,1400,
577,E53677152RUS,Ford Focus,2.0,5500,
578,E33177152RUS,Ford Focus,2.0,7100,
579,K338T8197RUS,Ford Focus,2.0,17400,
580,O22097197RUS,Ford Focus,2.0,24300,
581,Y4298M777RUS,Skoda Octavia,2.0,2000,
582,Y687HM197RUS,BMW,1.0,,
583,8311XX154RUS,Ford Focus,2.0,4300,2
584,98037H178RUS,Ford Focus,2.0,2500,
585,7828C8197RUS,Ford Focus,2.0,6700,
586,H980HY161RUS,Ford Focus,2.0,1800,
587,Y305E877RUS,Ford Focus,1.0,2500,
588,8521XX154RUS,Ford Focus,2.0,1000,
589,H906YK197RUS,Ford Focus,1.0,12000,
590,7199MT197RUS,Volkswagen Golf,1.0,9300,
591,X908XC197RUS,Volkswagen Jetta,2.0,46000,
592,T171CC96RUS,Ford Focus,2.0,2000,
593,X4108H125RUS,Ford Focus,2.0,1300,2
594,Y966O8197RUS,Ford Focus,2.0,10400,
595,K2797K154RUS,Ford Focus,2.0,2400,
596,X286TC36RUS,Ford Focus,1.0,500,
597,7089H8163RUS,Toyota Corolla,2.0,4400,
598,9883HX152RUS,Ford Focus,1.0,500,
599,7841C8197RUS,Ford Focus,1.0,12000,
600,9940KK197RUS,Ford Focus,1.0,,
601,H224X836RUS,Ford Focus,2.0,7000,
602,9028CO161RUS,Ford Focus,2.0,1500,
603,H971HY161RUS,Ford Focus,2.0,7400,
604,8610T8154RUS,Ford Focus,1.0,2000,
605,M0269X197RUS,Ford Focus,2.0,20600,3
606,E316EH197RUS,Volkswagen Touareg,1.0,1300,
607,T6359O50RUS,Ford Focus,2.0,13500,
608,X257HE161RUS,Ford Focus,1.0,5000,
609,H844YH197RUS,Ford Focus,2.0,3000,
610,9523M8178RUS,Skoda Octavia,2.0,300,
611,Y195O8161RUS,Ford Focus,2.0,100,
612,9137X938RUS,Ford Focus,1.0,1600,
613,E33477152RUS,Ford Focus,1.0,500,
614,Y156E877RUS,Ford Focus,2.0,7500,
615,E396MO152RUS,Ford Focus,2.0,3000,3
616,9939KK197RUS,Ford Focus,1.0,1600,
617,E0697X152RUS,Skoda Octavia,2.0,,
618,H908YK197RUS,Ford Focus,2.0,4800,
619,Y969O8197RUS,Ford Focus,1.0,15600,
620,9028CO161RUS,Ford Focus,1.0,1500,
621,9502XX38RUS,Skoda Octavia,1.0,3000,
622,7840C8197RUS,Ford Focus,2.0,3500,
623,T6249O50RUS,Ford Focus,2.0,8500,
624,E53677152RUS,Ford Focus,2.0,11000,
625,E42377152RUS,Ford Focus,2.0,3000,1
626,X256HE161RUS,Ford Focus,2.0,1600,
627,9941KK197RUS,Ford Focus,1.0,800,
628,E28877161RUS,Ford Focus,1.0,500,
629,M0299X197RUS,Ford Focus,2.0,19200,
630,M372CH197RUS,Ford Focus,1.0,21600,
631,K040CC197RUS,Ford Focus,2.0,3600,
632,E41577152RUS,Ford Focus,2.0,3000,
633,9763HY161RUS,Ford Focus,1.0,900,4
634,T535ET96RUS,Ford Focus,2.0,3000,
635,92918M178RUS,Ford Focus,2.0,7600,
636,Y655E8750RUS,Skoda Octavia,1.0,2600,
637,K2797K154RUS,Ford Focus,1.0,,
638,K559KC161RUS,Ford Focus,1.0,200,
639,7369C8197RUS,Ford Focus,2.0,10100,
640,T6359O50RUS,Ford Focus,2.0,13500,
641,8321XX154RUS,Ford Focus,1.0,200,
642,O134HE197RUS,Ford Focus,2.0,11400,
643,H961HY161RUS,Ford Focus,2.0,2500,
644,M2169X197RUS,Ford Focus,2.0,3100,
645,707987163RUS,Ford Focus,1.0,1100,
646,8234XX154RUS,Ford Focus,1.0,1300,2
647,9938KK197RUS,Ford Focus,1.0,28500,
648,X759HY197RUS,Ford Focus,1.0,37500,
649,M375CH197RUS,Ford Focus,1.0,18100,
650,C803KE163RUS,Volkswagen Jetta,1.0,1000,
651,O83697197RUS,Ford Focus,2.0,6100,
652,92918M178RUS,Ford Focus,1.0,1900,
653,92928M178RUS,Ford Focus,1.0,1200,
654,E52677152RUS,Ford Focus,2.0,2500,
655,8451M7154RUS,Ford Focus,1.0,500,
656,9589EY178RUS,Ford Focus,1.0,,3
657,H907YK197RUS,Ford Focus,2.0,7100,
658,O39897197RUS,Ford Focus,2.0,3800,
659,M3879X197RUS,Volkswagen Touareg,,6300,
660,H618YC38RUS,Volkswagen Golf,1.0,300,
661,C299K9154RUS,Ford Focus,1.0,500,
662,M0299X197RUS,Ford Focus,1.0,9600,
663,8437XX154RUS,Ford Focus,2.0,800,
664,9468EX178RUS,Ford Focus,1.0,4000,
665,M375CH197RUS,Ford Focus,2.0,18100,
666,H982HY161RUS,Ford Focus,1.0,300,
667,8201XX154RUS,Ford Focus,1.0,7800,1
668,8224XX154RUS,Ford Focus,1.0,2500,
669,O22397197RUS,Ford Focus,1.0,18500,
670,Y653E8750RUS,Skoda Octavia,1.0,500,
671,708487163RUS,Ford Focus,1.0,1000,
672,K558KC161RUS,Ford Focus,1.0,500,
673,O058M7161RUS,Ford Focus,1.0,1900,
674,9468EX178RUS,Ford Focus,1.0,2000,
675,M256OH161RUS,Ford Focus,2.0,1600,3
676,7183TT36RUS,Ford Focus,2.0,5400,
677,T242H8197RUS,Skoda Octavia,2.0,,
678,K27188138RUS,Ford Focus,1.0,2000,
679,X782CO96RUS,Ford Focus,1.0,1000,
680,Y7659C197RUS,Ford Focus,1.0,1500,
681,X523OM161RUS,Ford Focus,1.0,400,
682,T686EO197RUS,Toyota Camry,2.0,1000,
683,96629X178RUS,Ford Focus,1.0,7000,
684,9881HX152RUS,Ford Focus,2.0,10300,
685,9020YC197RUS,Skoda Octavia,2.0,72500,2
686,T479KX197RUS,Ford Focus,2.0,12000,
687,M680T9152RUS,Volkswagen Jetta,2.0,9000,
688,7831C8197RUS,Ford Focus,2.0,6800,
689,7364C8197RUS,Ford Focus,2.0,4500,
690,7844C8197RUS,Ford Focus,2.0,17000,
691,9068EM178RUS,Ford Focus,1.0,600,
692,T011MY163RUS,Ford Focus,2.0,4000,
693,C410X938RUS,Ford Focus,1.0,1100,
694,X762HY197RUS,Ford Focus,1.0,500,2
695,9470EX178RUS,Ford Focus,1.0,500,
696,X4128H125RUS,Ford Focus,2.0,,
697,M373CH197RUS,Ford Focus,2.0,6600,
698,9762HY161RUS,Ford Focus,2.0,2600,
699,8610T8154RUS,Ford Focus,1.0,2000,
700,H419XE197RUS,Toyota Corolla,2.0,6900,
701,98017H178RUS,Ford Focus,1.0,1500,2
702,Y780EE197RUS,Volkswagen Golf,2.0,4600,2
703,M580CH197RUS,Ford Focus,,9500,
704,T686EO197RUS,Toyota Camry,1.0,1000,
705,9943OH154RUS,Skoda Octavia,1.0,400,
706,Y354O8197RUS,Ford Focus,1.0,10800,
707,7065C8197RUS,Volkswagen Passat,1.0,3800,
708,9938KK197RUS,Ford Focus,1.0,28500,3
709,E28777161RUS,Ford Focus,1.0,800,
710,M701T9152RUS,Ford Focus,2.0,3000,
711,E577HE77RUS,Ford Focus,2.0,12000,
712,Y194O8161RUS,Ford Focus,2.0,900,
713,92788M178RUS,Ford Focus,1.0,1200,
714,9072EM178RUS,Ford Focus,2.0,4400,
715,9409H7178RUS,Skoda Octavia,1.0,3000,
716,C3829X154RUS,Ford Focus,2.0,13500,
717,T478KX197RUS,Ford Focus,2.0,7500,
718,T119CT96RUS,Ford Focus,1.0,2000,
719,X795O796RUS,Ford Focus,1.0,1000,
720,708487163RUS,Ford Focus,1.0,1000,
721,H983HY161RUS,Ford Focus,1.0,500,
722,7842C8197RUS,Ford Focus,1.0,6000,
723,O64097197RUS,Ford Focus,2.0,,
724,Y693HM197RUS,BMW,2.0,6500,
725,96857X197RUS,Skoda Octavia,1.0,37800,
726,7177TT36RUS,Ford Focus,1.0,500,
727,H908YK197RUS,Ford Focus,1.0,4800,
728,9428EX178RUS,Ford Focus,1.0,500,1
729,84438C154RUS,Ford Focus,2.0,7600,
730,Y7689C197RUS,Ford Focus,2.0,9000,
731,H427YH197RUS,Volkswagen Passat,1.0,9900,
732,T394KX197RUS,Ford Focus,2.0,1500,
733,O49897197RUS,Ford Focus,2.0,11800,
734,H963X936RUS,Skoda Octavia,1.0,1800,
735,T341CC96RUS,Volkswagen Passat,2.0,1000,
736,9942KK197RUS,Ford Focus,2.0,6200,
737,9141H8178RUS,Skoda Octavia,1.0,300,
738,9942KK197RUS,Ford Focus,2.0,3100,
739,7370C8197RUS,Ford Focus,2.0,5000,
740,9890HX152RUS,Ford Focus,2.0,9200,
741,9409H7178RUS,Skoda Octavia,1.0,6000,
742,M268CH197RUS,Toyota Camry,1.0,800,
743,Y780EE197RUS,Volkswagen Golf,1.0,2300,
744,Y388E877RUS,Ford Focus,2.0,9500,
745,C419X938RUS,Ford Focus,1.0,1100,
746,M0319X197RUS,Ford Focus,2.0,4500,
747,M577CH197RUS,Ford Focus,2.0,17000,
748,7361C8197RUS,Ford Focus,1.0,,
749,H975HY161RUS,Ford Focus,1.0,2000,
750,X018HY197RUS,Toyota Camry,2.0,10600,
751,E33177152RUS,Ford Focus,2.0,7100,
752,X256HE161RUS,Ford Focus,2.0,1600,
753,Y7689C197RUS,Ford Focus,2.0,45000,3
754,Y969O8197RUS,Ford Focus,2.0,7800,
755,7788KT197RUS,Ford Focus,2.0,4000,
756,9491H7178RUS,Volkswagen Jetta,1.0,500,
757,M374CH197RUS,Ford Focus,1.0,5500,
758,96679X178RUS,Ford Focus,2.0,2400,
759,9594HY161RUS,Ford Focus,1.0,300,
760,83218C154RUS,Ford Focus,1.0,100,
761,9764HY161RUS,Ford Focus,1.0,800,
762,708187163RUS,Ford Focus,1.0,1000,
763,H908YK197RUS,Ford Focus,1.0,4800,
764,H004MH197RUS,Ford Focus,2.0,19800,2
765,92788M178RUS,Ford Focus,1.0,300,
766,Y656E8750RUS,Skoda Octavia,1.0,,
767,9679EC178RUS,Ford Focus,1.0,500,
768,M0279X197RUS,Ford Focus,,36000,2
769,O017KO197RUS,Ford Focus,1.0,1600,
770,H957HY161RUS,Ford Focus,1.0,1000,
771,X320MK197RUS,Ford Focus,2.0,7500,
772,X286TC36RUS,Ford Focus,1.0,500,
773,C803KE163RUS,Volkswagen Jetta,1.0,1000,
774,Y7379Y50RUS,Ford Focus,2.0,2000,
775,X320MK197RUS,Ford Focus,1.0,7500,3
776,C476M7161RUS,Ford Focus,2.0,500,
777,H844YH197RUS,Ford Focus,1.0,1000,
778,96907X197RUS,BMW,2.0,3000,
779,Y650E8750RUS,Skoda Octavia,1.0,1000,
780,H235YH197RUS,Skoda Octavia,2.0,5100,
781,9474EX178RUS,Ford Focus,1.0,500,
782,Y8259C197RUS,Ford Focus,1.0,1500,
783,E29577161RUS,Ford Focus,1.0,500,1
784,X761HY197RUS,Ford Focus,2.0,18300,
785,H387TM197RUS,Volkswagen Passat,1.0,,
786,T396KX197RUS,Ford Focus,2.0,10300,
787,C593EY154RUS,Ford Focus,1.0,1000,
788,Y164O8161RUS,Ford Focus,1.0,800,
789,M942OT152RUS,Ford Focus,1.0,2000,
790,T195OK161RUS,Ford Mondeo,2.0,6700,
791,T476KX197RUS,Ford Focus,2.0,4500,
792,H889YK197RUS,Ford Focus,2.0,21200,
793,Y7429Y50RUS,Ford Focus,2.0,2000,
794,H976HY161RUS,Ford Focus,2.0,2200,
795,C410X938RUS,Ford Focus,2.0,2200,
796,Y195O8161RUS,Ford Focus,1.0,100,
797,O669E8197RUS,Ford Focus,1.0,18000,1
798,Y187O8161RUS,Ford Focus,2.0,400,
799,K329T8197RUS,Skoda Octavia,2.0,13000,
800,96659X178RUS,Ford Focus,1.0,900,
801,7842C8197RUS,Ford Focus,2.0,12000,
802,O275O7161RUS,Ford Focus,1.0,8300,
803,7784KT197RUS,Ford Focus,2.0,6600,
804,9677MO178RUS,Ford Mondeo,1.0,2200,
805,H957HY161RUS,Ford Focus,1.0,,1
806,M0279X197RUS,Ford Focus,2.0,36000,
807,7784KT197RUS,Ford Focus,2.0,6600,
808,9939KK197RUS,Ford Focus,1.0,1600,
809,Y8399C197RUS,Ford Focus,1.0,600,
810,M373CH197RUS,Ford Focus,2.0,6600,
811,7164YM36RUS,Ford Focus,2.0,18800,
812,7843C8197RUS,Ford Focus,2.0,4100,
813,O753MX161RUS,Ford Focus,2.0,700,3
814,9468EX178RUS,Ford Focus,2.0,2000,
815,T395KX197RUS,Ford Focus,2.0,7600,
816,T6488M116RUS,Ford Focus,2.0,21000,
817,7361C8197RUS,Ford Focus,1.0,800,
818,98047H178RUS,Ford Focus,1.0,500,
819,8316XX154RUS,Ford Focus,1.0,1100,
820,O752MX161RUS,Ford Focus,2.0,2600,
821,8234XX154RUS,Ford Focus,2.0,2600,1
822,9488EY178RUS,Ford Focus,2.0,1300,
823,96857X197RUS,Skoda Octavia,,18900,
824,O481OH77RUS,Toyota Camry,,1000,
825,K326T8197RUS,Volkswagen Passat,1.0,100,
826,90159H178RUS,Volkswagen Passat,1.0,,
827,9469EX178RUS,Ford Focus,1.0,4200,2
828,X796TH96RUS,Ford Focus,1.0,500,
829,9499KX178RUS,Ford Focus,1.0,4600,
830,Y358O8197RUS,Ford Focus,2.0,21800,
831,C420X938RUS,Ford Focus,2.0,3300,
832,Y965O8197RUS,Ford Focus,2.0,1600,
833,96429X178RUS,Ford Focus,2.0,1300,
834,Y274O8197RUS,Ford Focus,,10700,
835,Y358O8197RUS,Ford Focus,1.0,43600,
836,E223YM197RUS,Ford Focus,2.0,19500,
837,E42277152RUS,Ford Focus,2.0,5300,
838,E34877152RUS,Ford Focus,2.0,36600,3
839,Y964EE197RUS,Ford Focus,2.0,,
840,T6049O50RUS,Ford Focus,2.0,15000,
841,8601XX154RUS,Skoda Octavia,1.0,3900,
842,H259HY161RUS,Toyota Corolla,1.0,900,
843,T940CC96RUS,Ford Focus,1.0,500,
844,T288CT96RUS,Ford Focus,1.0,1500,
845,Y6839Y50RUS,Ford Focus,1.0,1500,
846,Y344E877RUS,Ford Focus,1.0,1000,
847,K889HY161RUS,Ford Mondeo,2.0,46200,2
848,H214X836RUS,Ford Focus,1.0,8000,
849,T399KX197RUS,Ford Focus,2.0,15300,
850,O421OT161RUS,Skoda Octavia,1.0,1200,
851,H232YH197RUS,Ford Focus,1.0,,
852,7360C8197RUS,Ford Focus,2.0,9600,
853,T6418M116RUS,Ford Focus,1.0,49200,
854,7248C8197RUS,Ford Mondeo,2.0,34400,
855,Y194O8161RUS,Ford Focus,2.0,900,
856,9881HX152RUS,Ford Focus,2.0,20600,
857,T6359O50RUS,Ford Focus,2.0,13500,
858,E29677161RUS,Ford Focus,2.0,6000,2
859,T020MM116RUS,Skoda Octavia,2.0,3000,
860,C798ET50RUS,Ford Focus,1.0,5000,
861,Y7719C197RUS,Ford Focus,2.0,4600,
862,9502XX38RUS,Skoda Octavia,1.0,3000,
863,8521XX154RUS,Ford Focus,1.0,1000,
864,Y273O8197RUS,Ford Focus,2.0,26300,
865,M580CH197RUS,Ford Focus,2.0,47500,
866,K376HE161RUS,Ford Focus,1.0,100,
867,7193TT36RUS,Ford Focus,2.0,3300,
868,O785T9163RUS,Ford Focus,1.0,500,2
869,H618YC38RUS,Volkswagen Golf,,300,
870,Y7689C197RUS,Ford Focus,1.0,36000,
871,M592CH197RUS,Skoda Octavia,1.0,3500,
872,Y352O8197RUS,Ford Focus,2.0,77700,
873,9068EM178RUS,Ford Focus,1.0,600,
874,7783KT197RUS,Ford Focus,1.0,6000,
875,Y305E877RUS,Ford Focus,2.0,2500,
876,E881OT197RUS,Skoda Octavia,2.0,5500,
877,Y8259C197RUS,Ford Focus,2.0,3000,
878,Y969O8197RUS,Ford Focus,2.0,7800,3
879,92928M178RUS,Ford Focus,2.0,3000,
880,O718MM163RUS,Ford Focus,2.0,7000,
881,Y7129Y50RUS,Ford Focus,1.0,,
882,9975CC77RUS,Ford Focus,2.0,7000,
883,C592EY154RUS,Ford Focus,1.0,2000,
884,7364C8197RUS,Ford Focus,1.0,4500,
885,T195OK161RUS,Ford Mondeo,1.0,6700,
886,Y966O8197RUS,Ford Focus,2.0,20800,
887,T914CT197RUS,Toyota Camry,2.0,7200,
888,E41977152RUS,Ford Focus,2.0,2400,
889,T171CC96RUS,Ford Focus,1.0,1000,
890,9464EX178RUS,Ford Focus,2.0,2100,3
891,O50197197RUS,Ford Focus,2.0,7800,
892,7608EE777RUS,Skoda Octavia,1.0,4000,
893,X583HE161RUS,Ford Focus,1.0,3000,
894,Y7229Y50RUS,Ford Focus,2.0,2500,
895,M6977E152RUS,Ford Focus,1.0,500,
896,K2797K154RUS,Ford Focus,1.0,800,
897,8325M7154RUS,Ford Focus,1.0,1000,1
898,Y192O8161RUS,Ford Focus,2.0,300,
899,7784KT197RUS,Ford Focus,1.0,6600,
900,96599X178RUS,Ford Focus,1.0,500,
901,X760HY197RUS,Ford Focus,1.0,10100,
902,Y358O8197RUS,Ford Focus,2.0,10900,
903,H966HY161RUS,Ford Focus,1.0,500,
904,9938KK197RUS,Ford Focus,2.0,28500,
905,98087H178RUS,Ford Focus,1.0,,
906,K2807K154RUS,Ford Focus,1.0,500,
907,H977HY161RUS,Ford Focus,1.0,600,
908,7367C8197RUS,Ford Focus,1.0,6000,2
909,9137X938RUS,Ford Focus,1.0,1600,
910,Y356O8197RUS,Ford Focus,2.0,15300,
911,9398MM199RUS,Volkswagen Passat,1.0,300,
912,8436XX154RUS,Ford Focus,1.0,2400,
913,8180XX154RUS,Ford Focus,2.0,1400,
914,E53477152RUS,Ford Focus,1.0,7200,
915,O718MM163RUS,Ford Focus,2.0,3500,
916,9677MO178RUS,Ford Mondeo,1.0,1100,
917,9498KX178RUS,Ford Focus,1.0,4000,
918,K436MO152RUS,Ford Focus,2.0,3000,
919,7194TT36RUS,Ford Focus,2.0,2300,
920,7364C8197RUS,Ford Focus,2.0,4500,2
921,O136HO197RUS,Toyota Corolla,2.0,7800,
922,O68897197RUS,Ford Focus,2.0,12300,
923,O718MM163RUS,Ford Focus,2.0,,
924,7065C8197RUS,Volkswagen Passat,2.0,11400,
925,O22097197RUS,Ford Focus,1.0,24300,
926,Y163O8161RUS,Ford Focus,2.0,1600,
927,M0309X197RUS,Ford Focus,1.0,22300,
928,O673E8197RUS,Ford Focus,2.0,600,
929,8610T8154RUS,Ford Focus,1.0,2000,
930,H419XE197RUS,Toyota Corolla,2.0,,2